1.000e+00 1.047e+00 2 
1.047e+00 1.096e+00 8 
1.096e+00 1.148e+00 6 
1.148e+00 1.202e+00 2 
1.202e+00 1.259e+00 5 
1.259e+00 1.318e+00 4 
1.318e+00 1.380e+00 3 
1.380e+00 1.445e+00 3 
1.445e+00 1.514e+00 9 
1.514e+00 1.585e+00 7 
1.585e+00 1.660e+00 9 
1.660e+00 1.738e+00 5 
1.738e+00 1.820e+00 10 
1.820e+00 1.905e+00 15 
1.905e+00 1.995e+00 13 
1.995e+00 2.089e+00 8 
2.089e+00 2.188e+00 19 
2.188e+00 2.291e+00 25 
2.291e+00 2.399e+00 9 
2.399e+00 2.512e+00 20 
2.512e+00 2.630e+00 20 
2.630e+00 2.754e+00 12 
2.754e+00 2.884e+00 22 
2.884e+00 3.020e+00 27 
3.020e+00 3.162e+00 22 
3.162e+00 3.311e+00 34 
3.311e+00 3.467e+00 32 
3.467e+00 3.631e+00 38 
3.631e+00 3.802e+00 35 
3.802e+00 3.981e+00 38 
3.981e+00 4.169e+00 53 
4.169e+00 4.365e+00 53 
4.365e+00 4.571e+00 48 
4.571e+00 4.786e+00 55 
4.786e+00 5.012e+00 51 
5.012e+00 5.248e+00 76 
5.248e+00 5.495e+00 93 
5.495e+00 5.754e+00 74 
5.754e+00 6.026e+00 106 
6.026e+00 6.310e+00 96 
6.310e+00 6.607e+00 112 
6.607e+00 6.918e+00 117 
6.918e+00 7.244e+00 114 
7.244e+00 7.586e+00 154 
7.586e+00 7.943e+00 150 
7.943e+00 8.318e+00 169 
8.318e+00 8.710e+00 156 
8.710e+00 9.120e+00 187 
9.120e+00 9.550e+00 226 
9.550e+00 1.000e+01 248 
1.000e+01 1.047e+01 262 
1.047e+01 1.096e+01 252 
1.096e+01 1.148e+01 281 
1.148e+01 1.202e+01 312 
1.202e+01 1.259e+01 330 
1.259e+01 1.318e+01 405 
1.318e+01 1.380e+01 379 
1.380e+01 1.445e+01 442 
1.445e+01 1.514e+01 499 
1.514e+01 1.585e+01 552 
1.585e+01 1.660e+01 579 
1.660e+01 1.738e+01 636 
1.738e+01 1.820e+01 638 
1.820e+01 1.905e+01 789 
1.905e+01 1.995e+01 849 
1.995e+01 2.089e+01 891 
