1.000e+00 1.047e+00 7 
1.047e+00 1.096e+00 7 
1.096e+00 1.148e+00 10 
1.148e+00 1.202e+00 5 
1.202e+00 1.259e+00 6 
1.259e+00 1.318e+00 6 
1.318e+00 1.380e+00 9 
1.380e+00 1.445e+00 7 
1.445e+00 1.514e+00 14 
1.514e+00 1.585e+00 10 
1.585e+00 1.660e+00 13 
1.660e+00 1.738e+00 15 
1.738e+00 1.820e+00 17 
1.820e+00 1.905e+00 18 
1.905e+00 1.995e+00 20 
1.995e+00 2.089e+00 24 
2.089e+00 2.188e+00 22 
2.188e+00 2.291e+00 22 
2.291e+00 2.399e+00 20 
2.399e+00 2.512e+00 20 
2.512e+00 2.630e+00 43 
2.630e+00 2.754e+00 24 
2.754e+00 2.884e+00 40 
2.884e+00 3.020e+00 45 
3.020e+00 3.162e+00 41 
3.162e+00 3.311e+00 53 
3.311e+00 3.467e+00 34 
3.467e+00 3.631e+00 74 
3.631e+00 3.802e+00 60 
3.802e+00 3.981e+00 65 
3.981e+00 4.169e+00 70 
4.169e+00 4.365e+00 91 
4.365e+00 4.571e+00 91 
4.571e+00 4.786e+00 108 
4.786e+00 5.012e+00 101 
5.012e+00 5.248e+00 126 
5.248e+00 5.495e+00 139 
5.495e+00 5.754e+00 142 
5.754e+00 6.026e+00 186 
6.026e+00 6.310e+00 209 
6.310e+00 6.607e+00 204 
6.607e+00 6.918e+00 231 
6.918e+00 7.244e+00 197 
7.244e+00 7.586e+00 250 
7.586e+00 7.943e+00 278 
7.943e+00 8.318e+00 343 
8.318e+00 8.710e+00 320 
8.710e+00 9.120e+00 383 
9.120e+00 9.550e+00 397 
9.550e+00 1.000e+01 482 
1.000e+01 1.047e+01 467 
1.047e+01 1.096e+01 526 
1.096e+01 1.148e+01 604 
1.148e+01 1.202e+01 647 
1.202e+01 1.259e+01 717 
1.259e+01 1.318e+01 797 
1.318e+01 1.380e+01 857 
1.380e+01 1.445e+01 919 
1.445e+01 1.514e+01 1020 
1.514e+01 1.585e+01 1153 
1.585e+01 1.660e+01 1296 
1.660e+01 1.738e+01 1274 
1.738e+01 1.820e+01 1414 
1.820e+01 1.905e+01 1653 
1.905e+01 1.995e+01 1866 
