5172361	-8879203
5195175	-8843668
5206314.5	-8833745
5218530	-8810073
5237320.5	-8799110
5251442	-8778566
5278914.5	-8787177
5286213.5	-8781192
5292932	-8785957
5296573.5	-8801043
5304799.5	-8798617
5323590.5	-8801168
5339413	-8734645
5338433	-8682031
5333795.5	-8654535
5319528.5	-8635689
5324732.5	-8613603
5325171.5	-8562086
5334949	-8542305
5332007	-8540261
5345848.5	-8529258
5359077.5	-8510893
5367252	-8485079
5379358.5	-8480828
5386948.5	-8483176
5410359.5	-8486997
5422264.5	-8481846
5425301.5	-8474649
5437790	-8475256
5445871.5	-8482717
5442232	-8493330
5450930.5	-8500677
5496134.5	-8443364
5515914.5	-8433415
5561633	-8385570.5
5583239	-8345452
5590184.5	-8319585.5
5589860	-8240040
5592259	-8164697.5
5588468	-8165369
5580727.5	-8163772.5
5567468.5	-8168881
5562960.5	-8167405.5
5559860.5	-8162700.5
5548132.5	-8167862.5
5541285.5	-8166192
5538307	-8167856
5534108	-8167526.5
5531841.5	-8168827.5
5525509	-8167655.5
5521586	-8165041
5520084.5	-8163554
5502749	-8158975
5498505.5	-8159718
5492584.5	-8163034.5
5475956.5	-8160311.5
5466838.5	-8168327.5
5462330.5	-8168854
5456782.5	-8171726
5452205.5	-8171825.5
5445609	-8174771
5442797	-8174858
5438560.5	-8171769
5433930	-8172788.5
5422621.5	-8171444.5
5418183	-8168081
5405652	-8169152
5401644	-8166286
5398285	-8166027
5391794	-8167621
5379192.5	-8173406.5
5371588.5	-8172890
5369546.5	-8169527.5
5376570	-8166808
5378058.5	-8160112
5377283	-8159062.5
5373228.5	-8157685.5
5370448.5	-8158761.5
5368052.5	-8155264
5360929.5	-8152860.5
5330088	-8154160.5
5273771	-8157047.5
5258149	-8157446
5253075.5	-8159292.5
5244603	-8156298.5
5244388	-8155050
5208013.5	-8165376.5
5143948	-8181853.5
5139461.5	-8180227
5082619	-8183891.5
5061422	-8185366
5038128.5	-8186913.5
5027543	-8187577.5
5015320	-8179547
4999059.5	-8207056
4986156.5	-8199095
4984066.5	-8199031.5
4967667.5	-8213156.5
4959698	-8214971.5
4955371	-8228721.5
4940908	-8238330.5
4945842.5	-8238339
4954592	-8235089
4967572.5	-8229003.5
4973628.5	-8227508.5
4978555	-8226081.5
4984086.5	-8226142.5
5002482.5	-8261357.5
5004546	-8264621.5
5013123	-8279051
5035953	-8315573
5039571	-8316153
5043499.5	-8320067.5
5046519.5	-8320023.5
5047715.5	-8321669
5047682	-8325896.5
5050232	-8333830
5049864.5	-8337304.5
5052413	-8337669.5
5055736.5	-8341455
5055626	-8345821.5
5063912.5	-8350619
5067802	-8351754.5
5073536.5	-8356739
5074812.5	-8357027
5078408	-8354675.5
5089918.5	-8356242
5091682.5	-8355303.5
5098156.5	-8355788
5099462.5	-8359777
5102164	-8359740.5
5104685	-8357850
5108084	-8362072.5
5109899.5	-8362849
5110883	-8365468.5
5112677.5	-8368029
5112831.5	-8377294.5
5124564	-8380542
5126603	-8385036.5
5131313	-8387440
5132135.5	-8391576
5131838.5	-8402365
5132305.5	-8471951
5132478	-8476425
5132830	-8523056
5132759	-8563630
5132825.5	-8568102
5132206	-8639823
5131982.5	-8654535
5132112	-8705659
5132294	-8716883
5132357.5	-8785171
5132553.5	-8800862
5132468	-8862408
5132844	-8879027
5172361	-8879203
4924916.5	-8210058.5
4919523.5	-8229582
4928370.5	-8211081
4931102	-8211475
4933392	-8220506
4930254.5	-8228262
4924285.5	-8224263.5
4922970	-8238092
4931453.5	-8240728.5
4946084.5	-8232700.5
4954538	-8226401
4953327	-8210248.5
4961554	-8209754
4970081.5	-8192922
4966649	-8179543.5
4972930	-8174262.5
4969773	-8150203.5
4977163.5	-8142016.5
4979665.5	-8128690.5
4981553	-8085309.5
5006270	-8050295
5005269	-8046300.5
5000509	-8054441.5
4988129.5	-8061350.5
4979334.5	-8076337
4970398	-8082331
4972576.5	-8068003.5
4987832	-8047629
4989501.5	-8037640
4984387	-8023576
4996781.5	-8006509.5
4995256.5	-8000530.5
4988796	-8005953.5
4957164	-8073019
4934667	-8173358
4924916.5	-8210058.5

